,Simplified,Pinyin,Vietnamese
,一,yī,một
,在,zài,hiện hữu
,有,yǒu,có
,个,gè,cá nhân
,我,wǒ,TÔI
,不,bù,KHÔNG
,这,zhè,cái này
,他,tā,Anh ta
,也,yě,Mà còn
,就,jiù,Một lần
,人,rén,mọi người
,都,dōu,Tất cả
,说,shuō,giải thích
,而,ér,Và
,们,men,họ
,你,nǐ,Bạn
,了,le,Hiểu rồi
,要,yào,muốn
,会,huì,cuộc họp
,对,duì,Phải
,及,jí,Và
,和,hé,Và
,与,yǔ,Và
,以,yǐ,qua
,很,hěn,rất
,种,zhǒng,loại
,的,de,của
,大,dà,to lớn
,能,néng,có thể
,着,zhe,Với
,她,tā,cô ấy
,那,nà,Cái đó
,上,shàng,thượng đẳng
,但,dàn,Nhưng
,年,nián,Năm
,还,hái,trở lại
,可以,kěyǐ,Có thể
,最,zuì,hầu hết
,自己,zìjǐ,Sở hữu
,为,wéi,vì
,来,lái,Đến
,所,suǒ,Địa điểm
,他们,tāmen,họ
,两,liǎng,hai
,各,gè,mỗi
,可,kě,Có thể
,为,wéi,vì
,或,huò,hoặc
,好,hǎo,Tốt
,等,děng,Chờ đợi
,又,yòu,lại
,将,jiāng,Sẽ
,因为,yīnwèi,bởi vì
,于,yú,Tại
,由,yóu,Phụ thuộc vào
,从,cóng,từ
,更,gèng,Thậm chí
,被,bèi,may chăn
,才,cái,tài năng
,已,yǐ,đã
,者,zhě,Qua
,每,měi,Mọi
,次,cì,hạng hai
,把,bǎ,Bó
,三,sān,ba
,什么,shénme,Cái gì
,问题,wèntí,câu hỏi
,其,qí,Cái đó
,让,ràng,cho phép
,此,cǐ,cái này
,做,zuò,LÀM
,再,zài,Lại
,所以,suǒyǐ,Vì thế
,只,zhǐ,Chỉ một
,则,zé,Nhưng
,台湾,Táiwān,Đài Loan
,却,què,Nhưng
,并,bìng,Và
,位,wèi,Chút
,想,xiǎng,nghĩ
,去,qù,đi
,呢,ne,Đồ len
,学生,xuéshēng,học sinh
,表示,biǎoshì,thể hiện
,到,dào,đến
,公司,gōngsī,công ty
,将,jiāng,Sẽ
,如果,rúguǒ,nếu như
,社会,shèhuì,xã hội
,看,kàn,Nhìn
,小,xiǎo,Bé nhỏ
,天,tiān,bầu trời
,因此,yīncǐ,Vì vậy
,新,xīn,mới
,但是,dànshì,Nhưng
,它,tā,Nó
,中,zhōng,ở giữa
,使,shǐ,làm
,工作,gōngzuò,Công việc
,全,quán,Hoàn thành
,觉得,juéde,cảm thấy
,使用,shǐyòng,sử dụng
,这些,zhèxiē,Những cái này
,里,lǐ,bên trong
,并,bìng,Và
,由于,yóuyú,bởi vì
,时候,shíhòu,khi
,知道,zhīdào,Biết
,这样,zhèyàng,Vì thế
,一,yī,một
,认为,rènwéi,nghĩ
,时间,shíjiān,thời gian
,事,shì,điều
,过,guò,Vượt qua
,向,xiàng,Đối với
,可能,kěnéng,khả thi
,中国,Zhōngguó,Trung Quốc
,美国,Měiguó,Hoa Kỳ
,到,dào,đến
,和,hé,Và
,几,jǐ,Một số
,系统,xìtǒng,hệ thống
,政府,zhèngfǔ,chính phủ
,大家,dàjiā,Mọi người
,国家,guójiā,Quốc gia
,许多,xǔduō,nhiều
,生活,shēnghuó,Mạng sống
,跟,gēn,Và
,已经,yǐjīng,đã
,大学,dàxué,Trường đại học
,研究,yánjiù,Nghiên cứu
,因,yīn,bởi vì
,本,běn,Sách
,二,èr,hai
,活动,huódòng,Hoạt động
,该,gāi,Nên
,世界,shìjiè,thế giới
,应,yīng,trả lời
,四,sì,bốn
,希望,xīwàng,mong
,方式,fāngshì,Đường
,内,nèi,Bên trong
,项,xiàng,mục 
,啊,ā,Ah
,下,xià,Xuống
,环境,huánjìng,môi trường
,一些,yīxiē,Một số
,必须,bìxū,phải
,文化,wénhuà,văn hoá
,高,gāo,cao
,孩子,háizi,đứa trẻ
,没有,méiyǒu,KHÔNG
,不能,bùnéng,không thể
,如,rú,giống
,开始,kāishǐ,bắt đầu
,元,yuán,Nhân dân tệ
,不同,bùtóng,khác biệt
,仍,réng,vẫn
,网路,wǎnglù,mạng
,日本,rìběn,Nhật Bản
,用,yòng,sử dụng
,中心,zhōngxīn,trung tâm
,来,lái,Đến
,对,duì,Phải
,虽然,suīrán,Mặc dù
,重要,zhòngyào,quan trọng
,地方,dìfāng,địa điểm
,进行,jìnxíng,chỉ đạo
,关系,guānxì,mối quan hệ
,市场,shìchǎng,chợ
,太,tài,cũng vậy
,老师,lǎoshī,giáo viên
,提供,tígōng,cung cấp
,学校,xuéxiào,Trường học
,应该,yīnggāi,nên
,指出,zhǐchū,chỉ ra
,经济,jīngjì,kinh tế
,其他,qítā,khác
,家,jiā,Trang chủ
,发展,fāzhǎn,phát triển
,教育,jiàoyū,giáo dục
,成为,chéngwéi,trở nên
,多,duō,nhiều
,非常,fēicháng,Rất
,便,biàn,Sự tiện lợi
,方面,fāngmiàn,diện mạo
,很多,hěnduō,rất nhiều
,吃,chī,ăn
,然后,ránhòu,Sau đó
,未,wèi,Chưa
,发现,fāxiàn,Phát hiện
,电脑,diànnǎo,máy tính
,一样,yīyàng,Như nhau
,而且,érqiě,Và
,心,xīn,Trái tim
,不过,búguò,Nhưng
,无法,wúfǎ,Không thể
,企业,qǐyè,doanh nghiệp
,正,zhèng,chỉ
,服务,fúwù,Phục vụ
,较,jiào,so sánh
,不会,búhuì,sẽ không
,台湾,táiwān,Đài Loan
,曾,céng,bao giờ
,吗,mā,?
,空间,kōngjiān,không gian
,看到,kàndào,Nhìn thấy
,五,wǔ,năm
,如何,rúhé,Làm sao
,国内,guónèi,nội địa
,们,men,họ
,无,wú,không có
,对于,duìyú,vì
,以及,yǐjí,cũng như
,之后,zhīhòu,sau đó
,可是,kěshì,Nhưng
,当,dāng,khi
,人员,rényuán,nhân viên
,比,bǐ,So sánh
,先,xiān,Đầu tiên
,产品,chǎnpǐn,sản phẩm
,资讯,zīxùn,Thông tin
,资料,zīliào,vật liệu
,比较,bǐjiào,So sánh
,先生,xiānshēng,quý ông
,地,dì,đất
,除了,chúle,Ngoại trừ
,大陆,dàlù,đất liền
,需要,xūyào,nhu cầu
,像,xiàng,hình ảnh
,在,zài,hiện hữu
,给,gěi,Đưa cho
,岁,suì,tuổi
,请,qǐng,Xin vui lòng
,月,yuè,mặt trăng
,些,xiē,một số
,名,míng,tên
,另,lìng,Khác
,若,ruò,giống
,亦,yì,cũng như
,地区,dìqū,khu vực
,技术,jìshù,công nghệ
,至,zhì,ĐẾN
,特别,tèbié,đặc biệt
,其实,qíshí,Thực ra
,国际,guójì,tính quốc tế
,不要,búyào,không muốn
,发生,fāshēng,xảy ra
,参加,cānjiā,tham gia
,一定,yīdìng,phải
,其中,qízhōng,TRONG
,问,wèn,hỏi
,台北,táiběi,Đài Bắc
,包括,bāokuò,bao gồm
,讲,jiǎng,nói chuyện
,造成,zàochéng,gây ra
,看,kàn,Nhìn
,像,xiàng,hình ảnh
,常,cháng,thường
,即,jí,Ngay lập tức
,喜欢,xǐhuān,giống
,去,qù,đi
,没,méi,không có
,出现,chūxiàn,Xuất hiện
,政治,zhèngzhì,chính trị
,话,huà,nói chuyện
,走,zǒu,Đi bộ
,单位,dānwèi,đơn vị
,一直,yīzhí,Luôn luôn
,吧,ba,Quán ba
,是否,shìfǒu,liệu
,当然,dāngrán,chắc chắn 
,整,zhěng,tất cả
,处理,chǔlǐ,đối phó với
,历史,lìshǐ,lịch sử
,了解,liǎojiě,học hỏi
,那,nà,Cái đó
,怎么,zěnme,Làm sao
,机会,jīhuì,Cơ hội
,家,jiā,Trang chủ
,听,tīng,Nghe
,所有,suǒyǒu,tất cả
,只要,zhǐyào,giá như
,朋友,péngyou,người bạn
,令,lìng,làm
,甚至,shènzhì,thậm chí
,用,yòng,sử dụng
,真,zhēn,thực tế
